State,Score
Assam,0.29090000000000005
Bihar,-0.3861999999999999
Chandigarh,0.0
Chhattisgarh,1.2064
Goa,1.8671499999999999
Gujarat,3.6689000000000003
Haryana,0.63365
Karnataka,3.8578000000000006
Kerala,4.8108
Madhya Pradesh,1.66155
Maharashtra,-1.8249000000000002
Manipur,0.7338000000000002
Delhi,6.2162500000000005
Puducherry,0.995
Punjab,4.734600000000001
Rajasthan,2.7108000000000003
Tamil Nadu,0.9693499999999999
West Bengal,2.6499
Telangana,-2.2332499999999995
Tripura,-0.8316
Uttar Pradesh,1.0506999999999997
Uttarakhand,0.192
Odisha,1.7266
